,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1985-03-29 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-01 16:00:00,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-02 16:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-03 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-04 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-08 16:00:00,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-09 16:00:00,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-10 16:00:00,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-11 16:00:00,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-12 16:00:00,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-15 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-16 16:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-17 16:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-18 16:00:00,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-19 16:00:00,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-22 16:00:00,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-23 16:00:00,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-24 16:00:00,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-25 16:00:00,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-26 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-29 16:00:00,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-30 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-01 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-02 16:00:00,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-03 16:00:00,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-06 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-07 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-08 16:00:00,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-09 16:00:00,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-10 16:00:00,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-13 16:00:00,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-14 16:00:00,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-15 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-16 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-17 16:00:00,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-20 16:00:00,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-21 16:00:00,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-22 16:00:00,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-23 16:00:00,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-24 16:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
